datetime,LN,lai,Icsun,Icsh,laisun,laish,sunhgt,aAn,bAn,leaf,assim,assimSum,dvs
2017-10-06 05:00:00,14.552862186242871,0.17955335236533054,0.01828583022024639,0.008912859477109857,0.11848537669781078,0.06106797566751976,0.05,-1.2936916146434883,-1.294383582897755,1.0858139492298853,-0.025091523731160352,-0.27894085304890626,0.48213136247499033
2017-10-06 06:00:00,14.605404442567812,0.17955335236533054,0.01828583022024639,0.008912859477109857,0.11848537669781078,0.06106797566751976,0.05,-1.3798765577616363,-1.3805642111761212,1.0858139492298853,-0.026762773183029137,-0.30570362623193537,0.4834594291790152
2017-10-06 07:00:00,14.65808016572271,0.17955335236533054,0.2227299851526196,0.024355305905630467,0.15389855189085677,0.02565480047447377,0.1422124513969656,-1.4034613377494694,-1.4179688158304198,1.0858139492298853,-0.027255784452869147,-0.3329594106848045,0.48477858785667144
2017-10-06 08:00:00,14.71085075051239,0.17955335236533054,3.7558595741711294,0.15328103125091672,0.16798616550975978,0.01156718685557076,0.3397630511752783,-1.1874627357604117,-1.4480947601364504,1.0858139492298853,-0.023352590988848725,-0.35631200167365323,0.4860884284249866
2017-10-06 09:00:00,14.763681401299001,0.17955335236533054,11.510461993442135,0.31200343211706516,0.17169481900269953,0.00785853336263101,0.5209845896341383,-0.7566992292839996,-1.5471244098947359,1.0858139492298853,-0.01534458232829129,-0.3716565840019445,0.4873716563544353
2017-10-06 10:00:00,14.816403665219154,0.17955335236533054,19.327853414069793,0.4177718773591142,0.17324663224215914,0.006306720123171405,0.6737706809449816,-0.3070390091424446,-1.6125095923617314,1.0858139492298853,-0.00684321706755209,-0.3784998010694966,0.48863713545360915
2017-10-06 11:00:00,14.868561252122714,0.17955335236533054,55.937939760290874,1.0731012943934652,0.17394309200578723,0.005610260359543318,0.7799888339005072,1.7796996266734189,-1.721397065296724,1.1022707866537842,0.03239016878015833,-0.3461096322893383,0.48986509640819614
2017-10-06 12:00:00,14.920039339142605,0.17955335236533054,57.07881007074188,1.0545971403203596,0.1741467416001636,0.005406610765166936,0.8188063250163258,1.7064589762449127,-1.839857635561682,1.1179403321752215,0.031020502639168814,-0.31508912965016944,0.49106555932033064
2017-10-06 13:00:00,14.971400804204524,0.17955335236533054,57.86427940766515,1.1100557760546976,0.17394309200578723,0.005610260359543318,0.7799888339005072,1.7313124363129997,-1.8532381357335306,1.133794476912628,0.03140129051467084,-0.2836878391354986,0.49226202904718225
2017-10-06 14:00:00,15.022514181131733,0.22165398110404527,92.53580643295055,2.4403071296349097,0.21209617749520526,0.00955780360884001,0.6737706809449816,3.6017172361814276,-1.7948162901826887,1.1759402591194463,0.08064964331249364,-0.20303819582300497,0.4934504706030234
2017-10-06 15:00:00,15.074671768035293,0.22165398110404527,33.56880690481053,1.1080937593956002,0.20976087267128096,0.01189310843276431,0.5209845896341383,0.43148522093351055,-1.718908748314543,1.1790627923877635,0.007567079222668493,-0.19547111660033648,0.4946784315576104
2017-10-06 16:00:00,15.127111727842609,0.22165398110404527,23.48556374246071,1.1631207090880538,0.2042064768084661,0.017447504295579175,0.3397630511752783,-0.1345987641036928,-1.6510156779821303,1.1790627923877635,-0.0060795405936774774,-0.20155065719401397,0.49592168410921106
2017-10-06 17:00:00,15.17975852270775,0.22165398110404527,10.766121159458796,1.4319311143670341,0.18345946798088447,0.0381945131231608,0.1422124513969656,-0.9155479855292342,-1.5698860209974415,1.1790627923877635,-0.02461611368523787,-0.22616677087925183,0.49717985827746525
2017-10-06 18:00:00,15.232480786627903,0.22165398110404527,1.2679434062468342,0.7778953715375792,0.13394873844476782,0.08770524265927745,0.05,-1.5514272679497672,-1.5866087677297924,1.1790627923877635,-0.03747228828945436,-0.26363905916870617,0.4984453373766391
