datetime,doy,dap,hour,LN,lai,Icsun,Icsh,laisun,laish,sunhgt,aAn,bAn,leaf,assim,assimSum,dvs
2017-12-06 14:00:00,340,77.0,14,71.66801171655207,3.796608658033862,496.534722530993,73.00785558101668,1.467753214991469,2.328855443042393,0.41828748970244756,9.698258740764185,4.013546680072984,85.48476072249612,2.5468150116637918,893.8145218466868,1.2855353241218495
2017-12-06 15:00:00,340,77.0,15,71.70067582440267,3.796608658033862,315.1388586515028,79.30089775109646,1.11297883378286,2.683629824251002,0.2932729541334811,8.91126302883582,4.310070008376934,85.48049300068489,2.3203453916652603,896.1348672383521,1.2858211473295167
2017-12-06 16:00:00,340,77.0,16,71.73434617498171,3.796608658033862,204.26336191333044,238.05086432454095,0.5453485576886106,3.2512601003452515,0.13689445680274637,7.874170736060326,8.34242137870053,85.47622352697934,3.3930953376559865,899.527962576008,1.2861141965318783
2017-12-06 17:00:00,340,77.0,17,71.7670102828323,3.796608658033862,29.589214266640184,184.7864740788851,0.1999166759524439,3.5966919820814183,0.05,1.557267440678054,7.4800814076722055,85.47195234319153,2.939206235896825,902.4671688119048,1.2864000197395455
2017-12-06 18:00:00,340,77.0,18,71.78746568837134,3.796608658033862,2.1886354452750174,13.668163788735978,0.1999166759524439,3.5966919820814183,0.05,-0.2329177121299834,0.6371777436199648,85.46768015275545,0.2424781382607917,902.7096469501656,1.2865681639751485
2017-12-06 19:00:00,340,77.0,19,71.80273437835044,3.796608658033862,0.028423836951623618,0.1775086206329348,0.1999166759524439,3.5966919820814183,0.05,-0.3521499360363732,-0.34001620137832844,85.46340732286589,-0.13968009251184302,902.5699668576538,1.2866749331361038
2017-12-06 20:00:00,340,77.0,20,71.82058964711524,3.796608658033862,0.028423836951623618,0.1775086206329348,0.1999166759524439,3.5966919820814183,0.05,-0.3781516605220919,-0.3660664052734788,85.45913366829392,-0.15036050819526786,902.4196063494585,1.2868125826889785
2017-12-06 21:00:00,340,77.0,21,71.83881604643751,3.796608658033862,0.0,0.0,0.1999166759524439,3.5966919820814183,0.05,-0.3843119877651891,-0.3843119877651891,85.45485916229265,-0.15758087977463622,902.2620254696839,1.286954640895355
2017-12-06 22:00:00,340,77.0,22,71.86001386920225,3.796608658033862,0.028423836951623618,0.1775086206329348,0.1999166759524439,3.5966919820814183,0.05,-0.4141861909041985,-0.40216516208572284,85.45058359718746,-0.16516082956937383,902.0968646401145,1.2871312699779107
2017-12-06 23:00:00,340,77.0,23,71.88379904275457,3.796608658033862,0.028423836951623618,0.1775086206329348,0.1999166759524439,3.5966919820814183,0.05,-0.4443760646923971,-0.43240645475427747,85.44630680148035,-0.1775596695704381,901.9193049705441,1.2873363902802868
